Reported Date,Confirmed Positive
2020-02-06,
2020-02-07,
2020-02-08,1
2020-02-09,2
2020-02-10,2
2020-02-11,3
2020-02-12,3
2020-02-13,3
2020-02-14,3
2020-02-15,3
2020-02-16,3
2020-02-17,3
2020-02-18,2
2020-02-19,2
2020-02-20,2
2020-02-21,2
2020-02-22,2
2020-02-23,2
2020-02-24,1
2020-02-25,0
2020-02-26,1
2020-02-27,1
2020-02-28,1
2020-02-29,2
2020-03-01,3
2020-03-02,15
2020-03-03,17
2020-03-04,17
2020-03-05,18
2020-03-06,22
2020-03-07,24
2020-03-08,25
2020-03-09,31
2020-03-10,31
2020-03-11,37
2020-03-12,54
2020-03-13,74
2020-03-14,98
2020-03-15,140
2020-03-16,172
2020-03-17,183
2020-03-18,208
2020-03-19,251
2020-03-20,311
2020-03-21,369
2020-03-22,412
2020-03-23,489
2020-03-24,572
2020-03-25,667
2020-03-26,835
2020-03-27,967
2020-03-28,1117
2020-03-29,1324
2020-03-30,1252
2020-03-31,1399
2020-04-01,1681
2020-04-02,1909
2020-04-03,2165
2020-04-04,2317
2020-04-05,2470
2020-04-06,2591
2020-04-07,2771
2020-04-08,3028
2020-04-09,3254
2020-04-10,3441
2020-04-11,3537
2020-04-12,3654
2020-04-13,3822
2020-04-14,4051
2020-04-15,4160
2020-04-16,4344
2020-04-17,4491
2020-04-18,4621
2020-04-19,4816
2020-04-20,5085
2020-04-21,5307
2020-04-22,5365
2020-04-23,5486
2020-04-24,5669
2020-04-25,5675
2020-04-26,5597
2020-04-27,5439
2020-04-28,5466
2020-04-29,5120
2020-04-30,4900
2020-05-01,4662
2020-05-02,4553
2020-05-03,4332
2020-05-04,4118
2020-05-05,4170
2020-05-06,4071
2020-05-07,4075
2020-05-08,4068
2020-05-09,3962
2020-05-10,3832
2020-05-11,3746
2020-05-12,3791
2020-05-13,3626
2020-05-14,3579
2020-05-15,3456
2020-05-16,3435
2020-05-17,3412
2020-05-18,3415
2020-05-19,3567
2020-05-20,3622
2020-05-21,3685
2020-05-22,3840
2020-05-23,3846
2020-05-24,3950
2020-05-25,4104
2020-05-26,4110
2020-05-27,3956
2020-05-28,4004
2020-05-29,3997
2020-05-30,3933
2020-05-31,3783
2020-06-01,3834
2020-06-02,3932
2020-06-03,3924
2020-06-04,3838
2020-06-05,3792
2020-06-06,3848
2020-06-07,3939
2020-06-08,3918
2020-06-09,3797
2020-06-10,3486
2020-06-11,3172
2020-06-12,3041
2020-06-13,2947
2020-06-14,2709
2020-06-15,2630
2020-06-16,2585
2020-06-17,2410
2020-06-18,2360
2020-06-19,2281
2020-06-20,2238
2020-06-21,2151
2020-06-22,2095
2020-06-23,2127
2020-06-24,2049
2020-06-25,2036
2020-06-26,1918
2020-06-27,1892
2020-06-28,1889
2020-06-29,2050
2020-06-30,2052
2020-07-01,2015
2020-07-02,1960
2020-07-03,1944
2020-07-04,1886
2020-07-05,1839
2020-07-06,1833
2020-07-07,1766
2020-07-08,1673
2020-07-09,1668
2020-07-10,1599
2020-07-11,1456
2020-07-12,1470
2020-07-13,1454
2020-07-14,1442
2020-07-15,1400
2020-07-16,1365
2020-07-17,1366
2020-07-18,1398
2020-07-19,1446
2020-07-20,1474
2020-07-21,1584
2020-07-22,1540
2020-07-23,1492
2020-07-24,1547
2020-07-25,1544
2020-07-26,1558
2020-07-27,1574
2020-07-28,1575
2020-07-29,1476
2020-07-30,1397
2020-07-31,1360
2020-08-01,1319
2020-08-02,1312
2020-08-03,1274
2020-08-04,1245
2020-08-05,1185
2020-08-06,1120
2020-08-07,1090
2020-08-08,1052
2020-08-09,981
2020-08-10,994
2020-08-11,952
2020-08-12,912
2020-08-13,891
2020-08-14,899
2020-08-15,903
2020-08-16,904
2020-08-17,920
2020-08-18,951
2020-08-19,965
2020-08-20,964
2020-08-21,986
2020-08-22,1003
2020-08-23,1010
2020-08-24,1036
2020-08-25,1059
2020-08-26,1030
2020-08-27,1070
2020-08-28,1103
2020-08-29,1148
2020-08-30,1181
2020-08-31,1221
2020-09-01,1240
2020-09-02,1236
2020-09-03,1249
2020-09-04,1282
2020-09-05,1345
2020-09-06,1390
2020-09-07,1461
2020-09-08,1527
2020-09-09,1540
2020-09-10,1567
2020-09-11,1657
